Feature,Coefficient
Glucose,1.0981892955105388
BMI_Category_Obese,0.7736205998059679
Age,0.43455559566173624
BMI_Category_Overweight,0.4025023386752281
BMI,0.37080792234456683
DiabetesPedigreeFunction,0.2169302743086233
Pregnancies,0.18842568797635012
SkinThickness,0.05867936347827647
BloodPressure,-0.14837838069697376
Insulin,-0.15623845716199292
